ICO,AR7,AR30,AR180,ICO,Token,Softcap,Hardcap,Start,End,Quarterstart,Duration of offering,Country,Category,ERC20,Rating,Number of experts,Bonus,Policy,Number of team members,Distributed in ICO,US restriction,Restricted countries,Accepted fiat,Major cryptocurrencies,Presale,Amount raised
plair,-0.021261078,0.104061494,-1.945333581,plair,PLA,,30000000,10/31/2018,11/14/2018,2018q4,15,Cayman Islands,"Platform,Sports,Entertainment",0,3.2,0,1,kyc&whitelist,7,0.275,,,0,0,0,22000000
primas,-0.221106654,-0.345597434,-1.549015857,primas,PST,,12663260,8/11/2017,8/25/2017,2017q3,15,Singapore,Platform,1,3.4,0,0,0,9,0.29,,,0,1,0,12663260
leverj,-0.038887628,-0.256399786,-0.260940573,leverj,LEV,,,11/7/2017,12/7/2017,2017q4,30,Seychelles,Platform,1,2.9,0,1,0,6,0.4,,,0,1,0,22600000
zper,-0.194633179,-0.284096981,-0.349124851,zper,ZPR,3235150,31057440,4/27/2018,5/16/2018,2018q2,20,Singapore,"Platform,Cryptocurrency,Banking,SmartContract",1,3.7,20,1,kyc&whitelist,,0.5,0," Singapore, South Korea",0,1,0,23211600
moneytoken,-0.258784042,-0.474253073,-0.429736228,moneytoken,IMT,3000000,35000000,2/7/2018,6/7/2018,2018q1,120,UK,"ArtificialIntelligence,Banking,Cryptocurrency,Platform,SmartContract",1,4.2,56,1,kyc&whitelist,8,0.45,,,0,1,0,37189195
azbit,-0.074233035,-0.433291537,,azbit,AZ,6500000,10000000,6/6/2019,7/30/2019,2019q2,54,Seychelles,"Banking,Businessservices,Cryptocurrency",1,4.5,10,0,kyc&whitelist,11,0.6,0," Canada, Singapore, Burma - Myanmar, Ivory Coast, Cuba, ?≠ongo, Iran, Iraq, Liberia, North Korea, Sudan, Syria, Zimbabwe",1,1,1,9000000
0chain,0.267896861,-0.445850444,-0.33970675,0chain,ZCHN,40000000,,2/7/2018,2/17/2018,2018q1,11,USA,"ArtificialIntelligence,Banking,BigData,Infrastructure,Internet,Platform,SmartContract",1,3.1,6,0,kyc&whitelist,7,0.1,0, China,0,1,1,39000000
smartlands,17.96178857,2.791692541,8.769054103,smartlands,SLT,,25000000,11/2/2017,11/20/2017,2017q4,19,Cyprus,"Investment,Platform",0,3.2,0,0,0,12,0.5,,,0,1,0,1753698
spankchain,-0.289935445,2.314231744,3.786730622,spankchain,SPANK,,,10/24/2017,11/13/2017,2017q4,21,USA,Entertainment,1,3.3,1,0,0,5,0.6,,,0,1,0,23750000
cryptaldash,0.230808344,-0.100585291,-0.217353843,cryptaldash,CRD,,780000000,4/19/2018,6/19/2018,2018q2,61,Estonia,"Cryptocurrency,Platform",1,2.2,0,0,whitelist,9,0.75,,,0,1,0,15287911
paytomat,-0.041255847,-0.26226952,-1.101918955,paytomat,PTI,2030052.72,2310000,11/20/2018,12/20/2018,2018q4,30,Estonia,,0,3.9,12,1,kyc&whitelist,12,0.8,1," USA, China, Southern Korea",0,1,0,2307690
datum,0.562513607,3.005578319,0.16564405,datum,DAT,1525450,29380000,10/29/2017,11/29/2017,2017q4,31,Switzerland,"Platform,Cryptocurrency,Businessservices,Investment,Internet,Software",0,3,2,1,0,12,0.576522729,,,0,1,0,7200000
sureremit,-0.225532838,-0.324191912,-0.065894053,sureremit,RMT,,10000000,1/10/2018,2/10/2018,2018q1,31,USA,"Platform,Cryptocurrency,Retail",0,3.4,2,0,0,6,0.5,,,0,1,0,10000000
cappasity,-0.696661663,8.346868766,0.209342722,cappasity,CAPP,,20000000,2/22/2018,3/22/2018,2018q1,28,Cayman Islands,"Software,Platform,Businessservices,VirtualReality",1,4,11,1,0,8,0.7,,,0,1,0,5100000
redfox-labs,0.555240374,-0.155407511,-0.834254423,redfox-labs,RFOX,1000000,5650000,4/17/2019,4/19/2019,2019q2,3,Vietnam,"BigData,Cryptocurrency,Platform",0,3.7,2,0,0,6,0.05,1, USA,0,0,1,5650000
cardstack,0.058887566,-0.427955488,-0.389308625,cardstack,CARD,,,5/31/2018,6/30/2018,2018q2,30,Switzerland,"Platform,Cryptocurrency,Software",1,3.9,6,0,kyc&whitelist,18,0.4,,,0,1,0,35000000
insurepal,-0.059783607,-0.404329164,-0.508281785,insurepal,IPL,5000000,18000000,1/16/2018,1/16/2018,2018q1,1,Liechtenstein,"Platform,Businessservices,Infrastructure",1,3.9,16,1,0,10,0.67,,,0,1,0,18000000
pibble,0.074068056,0.146389713,-2.147580112,pibble,PIB,,17082450,4/1/2018,4/15/2018,2018q2,15,Singapore,"Art,Entertainment,Media",1,3,0,0,kyc&whitelist,8,0.3,1," China, USA, Canada, North Korea",0,1,0,21299632
aidcoin,-0.23069676,-0.522070338,-0.449546153,aidcoin,AID,10536900,18630000,1/16/2018,1/16/2018,2018q1,1,Switzerland,"Cryptocurrency,Charity",1,3.2,14,1,0,36,0.3,,,1,1,0,15854305
spiking,-0.444880556,-0.519309025,-0.523486671,spiking,SPIKE,2000000,32500000,12/12/2018,12/24/2018,2018q4,13,Cayman Islands,"Education,Cryptocurrency,BigData,ArtificialIntelligence,Investment,Platform,SmartContract",1,4.4,22,1,kyc&whitelist,28,0.65,1," USA, China, Korea, Ethiopia, Iran, Iraq, Pakistan, Serbia, Sri Lanka, Syria, Trinidad and Tobago, Tunisia, Vanuatu, and Yemen",0,1,1,32230000
axpire,-0.343545875,-0.336613952,-0.482714787,axpire,AXPR,3000000,20000000,1/8/2018,1/12/2018,2018q1,5,USA,"Platform,Other,Businessservices,ArtificialIntelligence,Software",1,4,3,0,kyc,4,0.75,,,0,1,1,20000000
xriba,1.99646476,2.051707315,0.767443621,xriba,XRA Token,10000000,19465500,6/7/2018,7/7/2018,2018q2,30,UK,"Businessservices,Banking,ArtificialIntelligence,Cryptocurrency,SmartContract,Software",1,4.4,7,0,kyc&whitelist,9,0.39,1," USA, China",0,1,0,12600000
hacken,-0.15238862,0.148229379,-0.257011867,hacken,HKN,,,10/31/2017,11/30/2017,2017q4,30,Russia,"Cryptocurrency,Communication,Internet,Platform",1,3.5,11,0,0,8,0.8,,,1,1,0,4976170
akropolis,0.386236084,-0.397538444,-0.800980169,akropolis,AKT,,,7/16/2019,7/16/2019,2019q3,1,Gibraltar,"Infrastructure,Investment,Platform",1,3.9,1,0,kyc&whitelist,11,0.08,0," United States, Canada, UK, Australia, France, South Africa, New Zealand, Japan, PeopleÉ??s Republic of China, Singapore, South Korea, Israel, Cayman Islands.",0,1,0,2400000
qiibee,0.030805336,-0.677431846,-0.526907493,qiibee,QBX,3000000,11250000,9/24/2018,10/24/2018,2018q3,30,Switzerland,"Businessservices,Platform",1,4.1,24,1,kyc&whitelist,18,0.51,1, USA,1,1,0,8460000
ebcoin,0.04473091,-0.045918904,-0.252276077,ebcoin,EBC,150000000,600000000,1/16/2018,2/13/2018,2018q1,28,Singapore,"Software,Tourism",1,3.9,10,0,0,9,0.5,,,0,1,1,8712006
cloudbric,-0.146686963,-0.597678957,-1.78333382,cloudbric,CLB,1020200,2040400,10/22/2018,10/31/2018,2018q4,10,Singapore,"BigData,ArtificialIntelligence,Internet,Platform,Software",1,4.4,23,1,kyc,15,0.44,1," USA, China",0,1,0,986750
infinitus-token,-0.013486662,-0.143941936,-1.311412194,infinitus-token,INF,2500000,20000000,8/18/2018,9/19/2018,2018q3,32,Singapore,Platform,1,2.6,0,0,0,11,0.85,1," USA, Canada, China",0,1,0,11000000
typerium,-0.319047482,-0.524986863,-0.794958492,typerium,TYPE,4500000,40000000,6/26/2018,7/23/2018,2018q2,27,UK,"Communication,Media,Cryptocurrency,Platform,Software",1,3.7,0,1,kyc,12,0.5,,,0,1,1,500000
stk,-0.125379539,-0.681663686,-0.694398935,stk,STK,4025916,359458383.3,12/29/2017,12/29/2017,2017q4,1,Canada,"Cryptocurrency,Platform,Banking",0,2.6,1,1,0,16,0.55,,,0,1,0,17000000
truefeedback,-0.130769201,-0.063496777,,truefeedback,Truefeedback Token / TFB,200000,770000,6/28/2019,7/8/2019,2019q2,11,Turkey,"Businessservices,Communication,Education,Platform",1,3.5,2,0,0,6,0.31,1," USA, China",0,1,1,367336
domraider,-0.531476761,-0.731610381,-1.157388223,domraider,DRT,,,9/12/2017,10/9/2017,2017q3,27,France,"Platform,Cryptocurrency,Businessservices",1,3.5,11,0,0,33,0.35,,,0,1,0,65771440
experty,-0.51063561,-0.476164894,-0.403134635,experty,EXY,,9000000,1/25/2018,2/25/2018,2018q1,31,Switzerland,Communication,0,3.6,22,0,0,15,0.33,,,1,1,0,9500000
copytrack,-0.416232626,-0.408445415,-0.474724037,copytrack,CPY,,,12/10/2017,2/10/2018,2017q4,62,Germany,"Businessservices,Legal,Platform,SmartContract",1,3.5,4,0,whitelist,4,0.4,1, USA,0,0,0,11137646
crycash,0.505114566,-0.014182073,-0.438382231,crycash,,,,12/12/2017,1/31/2018,2017q4,50,Germany,"Cryptocurrency,Entertainment",1,3,1,1,0,6,0.6,,,0,1,0,382
aventus,-0.277225776,-0.332447259,-2.071925952,aventus,AVT,,18780000,9/6/2017,9/6/2017,2017q3,1,UK,"Cryptocurrency,Entertainment",1,3.5,1,0,0,7,0.6,1," USA, China, Belize, Iraq.",0,1,0,18700000
vezt,-0.574199832,-0.571875247,-0.404731097,vezt,VZT,,15000000,11/4/2017,12/3/2017,2017q4,29,USA,"Entertainment,Platform,Art",1,2.8,1,0,0,12,0.5,,,0,1,0,1380644
bittwatt,0.465199032,1.294800697,0.097393363,bittwatt,BWT,25300000,30400000,4/1/2018,6/8/2018,2018q2,68,Singapore,"Businessservices,Cryptocurrency,Energy,Infrastructure,Investment,Platform,SmartContract,Software",1,3,0,1,kyc&whitelist,8,0.75,,,0,1,0,20000000
liquidity-network,-0.079327945,-0.288691557,-0.57212648,liquidity-network,LQD,,30000000,6/14/2018,7/28/2018,2018q2,44,Switzerland,Cryptocurrency,1,3.7,2,0,kyc&whitelist,9,0.5,1," USA, China, Taiwan, Canada",0,1,0,26029981
vodi-x,-0.4381085,-0.627049111,-0.888826183,vodi-x,VDX,1000000,4500000,5/21/2019,5/22/2019,2019q2,2,Malta,Platform,1,3.5,2,0,0,7,0.45,,,0,1,0,1477031
gamb,-0.09299646,-0.593459401,-1.586973701,gamb,GMB,5000000,15000000,7/31/2018,7/31/2018,2018q3,1,Malta,"Retail,Platform,Businessservices",1,4.3,8,1,kyc&whitelist,32,0.35,0," Algeria, Bangladesh, Bolivia, China, Hong Kong, Ecuador, Ethiopia, Indonesia, Iran, Iraq, Jordan, Korea, Kyrgyzstan, Macau, Morocco, Nepal, Serbia, Sri Lanka, Syria, Taiwan, Trinidad and Tobago, Tunisia, Vanuatu, Yemen, and United States.",0,1,0,8200000
uptoken,-0.296821492,-0.115938315,-0.573762226,uptoken,UP,,100000000,10/16/2017,12/15/2017,2017q4,60,USA,"Banking,Cryptocurrency",1,3.2,1,0,0,10,0.8,,,0,1,0,18934021
neurochain,-0.001787978,0.002971027,-0.260683888,neurochain,NCC,9241500,36966000,3/19/2018,4/15/2018,2018q1,27,France,"Banking,ArtificialIntelligence,BigData,Businessservices,Communication,Education,Energy,Entertainment,Health,Infrastructure,Internet,Media",1,3.5,14,1,kyc&whitelist,15,0.09,0, China,0,1,1,25000000
colu-local-network,-0.020610575,-0.02046265,-0.372844214,colu-local-network,CLN,30000000,50000000,2/14/2018,2/18/2018,2018q1,5,Israel,Platform,1,3.9,10,0,kyc&whitelist,52,0.35,,,0,1,0,23000000
lition,-0.16567211,-0.816928603,-1.062663256,lition,LITION,2000000,5000000,3/18/2019,3/26/2019,2019q1,9,Liechtenstein,Infrastructure,1,4.5,2,0,kyc&whitelist,14,0.5,1," USA, China",0,1,0,4900000
ubcoin-market,-0.126204001,-0.485597991,-0.475311419,ubcoin-market,UBC,772840,21200000,4/2/2018,8/27/2018,2018q2,147,United Arab Emirates,Platform,1,3.6,6,1,0,6,0.5,,,0,1,1,19110000
playkey,0.527408092,2.988699761,0.252642877,playkey,PKT,,60000000,11/1/2017,12/1/2017,2017q4,30,Russia,"Entertainment,Platform",1,3.2,4,0,0,6,0.6,1," USA, Cayman Islands",0,1,0,10512361
datawallet,-0.392799062,-0.424066107,-0.547580976,datawallet,DXT,,30000000,2/5/2018,2/6/2018,2018q1,2,USA,"BigData,Businessservices,Cryptocurrency,Internet,SmartContract",1,3.1,10,0,kyc&whitelist,13,0.3333,1," Afghanistan, Bosnia and Herzegovina, Canada, Central African Republic, Crimea, Cuba, Congo, Eritrea, Ethiopia, Guinea-Bissau, Iran, Iraq, Libya, Lebanon, New Zealand, China, Somalia, South Sudan, Sudan, Syria, Sri Lanka, Tunisia, Uganda, USA, Vanuatu, Yemen",0,1,0,40000000
sapien,-0.134360513,-0.593371229,-0.246858501,sapien,SPN,,30000000,3/3/2018,4/3/2018,2018q1,31,USA,"Platform,Cryptocurrency,Entertainment,Communication",1,4.4,33,1,0,6,0.45,,,0,1,1,10501153
stox,0.057751485,-0.516465969,-3.020084322,stox,STX,,32552600,8/2/2017,8/4/2017,2017q3,3,Gibraltar,Investment,1,2.4,0,0,0,20,0.5,,,0,1,0,33000000
faceter,-0.277346341,-0.369088708,-0.472535525,faceter,FACE,5000000,40800000,2/15/2018,3/30/2018,2018q1,43,South Africa,"ArtificialIntelligence,BigData,Internet",1,4.5,55,1,kyc&whitelist,9,0.408,,,0,1,0,28610353
matryx,1.882161461,0.382711215,-0.157528647,matryx,MTX,,8950000,9/13/2017,10/12/2017,2017q3,29,USA,Platform,0,2.8,1,0,0,15,1,,,0,1,0,4000000
flixxo,-0.440565212,-0.624444512,0.005484397,flixxo,Flixx,1491650,10441550,10/24/2017,11/24/2017,2017q4,31,Argentina,"Platform,Entertainment,Media",0,3.1,1,0,0,5,0.222,,,0,1,0,5000000
suretly,-0.354960633,-0.645446335,-1.694396848,suretly,SUR,,,7/11/2017,8/11/2017,2017q3,31,Russia,Investment,0,2.1,0,0,0,7,0.15,,,0,1,0,2800000
adbank,-0.33065571,-0.704695047,-0.600527789,adbank,ADB,,13960000,12/15/2017,1/14/2018,2017q4,30,Canada,"Platform,Businessservices,Software",0,3.2,8,1,0,5,0.56,,,0,1,0,15000000
membrana,0.091425243,1.438591634,,membrana,MBN,1000000,3000000,7/3/2019,7/29/2019,2019q3,26,Cayman Islands,"Investment,Platform,SmartContract",1,4.2,6,1,kyc&whitelist,13,0.55,1, USA,1,1,0,600000
essentia,-0.452708502,-0.735075951,-0.49897661,essentia,ESS,,,6/25/2018,6/29/2018,2018q2,5,Switzerland,"SmartContract,Platform,Other,Investment,Internet,Infrastructure,Cryptocurrency,Communication,Businessservices,BigData,ArtificialIntelligence,Software",1,3.7,6,0,kyc&whitelist,32,0.35,1, USA,0,1,0,25500000
olxa,-1.089030029,-1.180839242,-2.323377517,olxa,OLXA,1000000,3000000,3/1/2018,5/25/2018,2018q1,85,Germany,"Businessservices,Banking,Communication,Cryptocurrency,Electronics,Manufacturing,Platform",1,2.5,3,1,0,9,0.58,,,0,1,1,141200
zilla,4.038062858,1.955711502,0.129097128,zilla,ZLA,,15000000,11/30/2017,12/30/2017,2017q4,30,Singapore,Platform,1,2.7,2,0,0,5,0.75,,,0,1,0,13500000
cotrader,-0.342529402,0.365449154,-2.313467635,cotrader,COT,47456,2583100,12/1/2018,12/17/2018,2018q4,17,Saint Kitts and Nevis,"Investment,Infrastructure,Cryptocurrency,Platform,SmartContract",1,4.2,34,1,0,24,0.65,1, USA,0,1,1,1000000
0xcert,-0.091168357,-0.568204599,-0.53586764,0xcert,ZXC,2336600,9346400,7/4/2018,7/4/2018,2018q3,1,Slovenia,"SmartContract,Internet",1,3.8,2,1,kyc&whitelist,19,0.5,,,0,1,0,10313710
real,-0.706496112,-1.140995767,-1.185612326,real,REAL,38304000,76608000,8/31/2017,9/30/2017,2017q3,30,Singapore,Realestate,1,3.4,1,0,0,6,0.51,,,0,1,0,10824148
pylon-network,0.09084123,-0.248326701,-0.328370122,pylon-network,PYLNT,,,10/4/2017,10/24/2017,2017q4,21,Spain,Energy,0,2.8,1,0,0,11,0.87,,,0,1,0,245482
bitdegree,-0.317909456,-0.426506727,-0.396710756,bitdegree,BDG,7464640,21570000,12/1/2017,12/29/2017,2017q4,28,Lithuania,"Education,Platform",0,3.6,9,0,0,22,0.51,1, USA,0,1,0,22500000
hoqu,-0.126805568,-0.09400519,-0.563625795,hoqu,HQX,,14791000,11/27/2017,2/26/2018,2017q4,91,UK,"Businessservices,Platform,Software",0,3,14,1,0,5,0.65,,,0,1,1,15000000
phi-token,-0.348253561,-0.414549747,-0.400353709,phi-token,PHI,,,3/8/2018,3/21/2018,2018q1,14,Malta,"ArtificialIntelligence,BigData,Investment,Legal,Platform,Software",1,4,5,0,kyc,4,0.618,1, USA,0,1,1,3800000
omnitude,-0.213092797,0.140720991,0.372760871,omnitude,ECOM,10000000,15700000,3/28/2018,6/4/2018,2018q1,68,UK,"Internet,Infrastructure,Communication,Businessservices,Platform,SmartContract,Software",1,4.3,27,0,kyc,9,0.55,,,0,1,1,8000000
sentinel-chain,0.056254791,1.194133066,-0.771655482,sentinel-chain,SENC,6400000,14400000,3/1/2018,3/10/2018,2018q1,10,Singapore,"Banking,Businessservices",1,4,2,0,kyc,13,0.4,1," USA, China",0,1,1,14400000
privatix,0.50710037,-1.732507022,-0.260493702,privatix,PRIX,1032101.5,15000000,10/19/2017,11/16/2017,2017q4,28,Israel,"Internet,Platform",0,3.1,3,1,0,11,0.8,1," USA, China, Singapore, Israel",0,1,0,2370534
savedroid,-0.267584217,-0.416714168,-0.368056705,savedroid,SVD,50000000,10000000000,2/9/2018,3/9/2018,2018q1,28,Germany,,1,3.4,41,0,kyc&whitelist,20,0.6,,,1,1,0,4345948
coinfi,-0.316516141,-0.640740967,-0.582751774,coinfi,COF,,15000000,1/10/2018,1/10/2018,2018q1,1,Hong Kong,Platform,1,2.8,1,1,0,8,0.5,1, US citizens excluded,0,1,1,15000000
eristica,-0.422899869,-0.366696531,-0.110480756,eristica,ERT,1000000,10000000,12/7/2017,2/7/2018,2017q4,62,Singapore,"Cryptocurrency,Communication,Entertainment,Platform,Sports",1,4.2,2,1,kyc,4,0.68,1," USA, China, Canada",0,1,1,3138109
iotw,-0.139413072,0.325097371,-0.066384516,iotw,IOTW,,20000000,4/28/2019,4/29/2019,2019q2,2,Hong Kong,"Platform,Internet,Electronics,Cryptocurrency,BigData,ArtificialIntelligence,SmartContract,Software",1,3.6,1,1,kyc&whitelist,5,0.24,1," USA, China",1,1,0,750000
auctus,-0.045940962,-0.24527315,-0.63113856,auctus,AUC,1634000,4628700,4/10/2018,4/20/2018,2018q2,11,British Virgin Islands,"Cryptocurrency,ArtificialIntelligence,Investment,Platform,SmartContract",1,3.9,39,1,kyc&whitelist,12,0.51,1," USA, China, and Singapore",0,1,1,6643081
crowd-machine,-0.3736632,-0.318951133,-0.564699673,crowd-machine,CMCT,,100000000,5/1/2018,6/1/2019,2018q2,396,Cayman Islands,"Platform,Cryptocurrency,Communication,Businessservices,Software",1,3.8,27,0,kyc&whitelist,21,0.8,0," North Korea, Cuba, Syria, Sudan, Iran",0,1,0,23606000
jet8,-0.272804127,-0.371125681,-0.521078613,jet8,J8T,25000000,36000000,2/28/2018,3/6/2018,2018q1,7,Singapore,Media,0,3.9,11,0,kyc&whitelist,33,0.3,1," USA, China",0,0,0,32706262
ink-protocol,-0.326323086,-0.252131605,-0.413537164,ink-protocol,XNK,,15000000,1/22/2018,1/22/2018,2018q1,1,USA,"Other,Platform",1,4.3,3,1,0,11,0.3,,,0,1,0,15000000
on-live,0.041952966,-0.448277836,0.312237714,on-live,ONL,10126760,72334000,3/11/2018,4/11/2018,2018q1,31,UK,"Platform,Infrastructure",1,3.7,7,0,0,14,0.55,,,0,1,0,14360529
cobinhood,0.137158313,-0.053673693,-0.202465944,cobinhood,COB,,,9/13/2017,10/22/2017,2017q3,39,Taiwan,"Cryptocurrency,Platform",1,3,13,1,0,5,0.5,,,0,1,0,13200000
sharpay,-0.062234244,0.311684661,-0.547880627,sharpay,S,3000000,39249000,3/1/2018,5/31/2018,2018q1,91,Belize,"Businessservices,Communication,Cryptocurrency,Media",1,4.6,97,0,kyc&whitelist,12,0.375,,,0,1,1,5973900
dether,-0.210941004,-0.342070781,-0.37419768,dether,?êTH,2271210,11356050,2/7/2018,2/9/2018,2018q1,3,France,"Platform,Banking",1,3.7,10,0,0,8,0.66,,,0,1,0,13440000
robet,-0.208982671,0.185721941,2.066919294,robet,RAC Token,1847160,18471600,4/20/2018,5/21/2018,2018q2,31,Malta,"Cryptocurrency,Sports",1,2.7,1,1,kyc,11,0.6,1," China, Singapore, USA, South Africa",0,1,1,1969000
fire-lotto,-0.508737208,-0.501451464,-0.40241217,fire-lotto,FLOT,2000000,15000000,3/15/2018,4/15/2018,2018q1,31,Cyprus,"Entertainment,Casino&Gambling",1,3.6,24,0,0,9,0.77,,,0,1,0,3740965
birdchain,-0.341834406,-0.035043096,,birdchain,BIRD,1308300,9158100,3/1/2018,5/31/2018,2018q1,91,Estonia,"Platform,Software,Communication",1,4.1,15,0,0,21,0.43,,,0,1,0,1534291
autonio,12.5187357,14.33421343,16.44690762,autonio,NIO,,10000000,9/22/2017,10/22/2017,2017q3,30,China,Businessservices,1,3,0,0,0,6,0.7,,,0,1,0,10223
trakinvest,-0.275180732,-0.453806626,-0.577776051,trakinvest,TRAK,,66000000,2/8/2018,3/7/2018,2018q1,27,Singapore,"Investment,Platform",0,3.8,7,0,kyc&whitelist,14,0.425,,,0,1,1,50000000
artis-turba,0.516207467,0.376614336,,artis-turba,ARTIS,,21376000,11/29/2017,2/26/2018,2017q4,89,South Africa,"Cryptocurrency,Investment",1,2.6,1,1,0,,0.57,,,0,1,0,5000000
hellogold,-0.522977376,-0.807982489,-0.04670694,hellogold,HGT,,14019747,8/28/2017,10/2/2017,2017q3,35,Malaysia,"Platform,Investment",1,3.4,1,0,0,19,0.26,,,0,1,0,5208991
blocktix,0.789468673,-0.303539483,1.327180578,blocktix,TIX,2500000,7500000,7/7/2017,7/25/2017,2017q3,19,Netherlands,"Entertainment,Businessservices,Platform",1,2.8,0,1,0,7,0.64,,,0,0,0,6981328
clearpoll,-0.286022115,-0.1584761,0.908552741,clearpoll,POLL,1000000,10000000,9/9/2017,10/20/2017,2017q3,41,Australia,"Platform,Other",0,3.6,4,0,0,10,0.7,,,0,1,1,870000
hold,-0.069851317,-0.353288565,-0.296671029,hold,HOLD,3500000,11300000,5/4/2018,5/31/2018,2018q2,27,Malta,Banking,1,2.3,0,0,kyc&whitelist,12,0.8,,,0,1,0,11300000
ethersportz,-0.384186928,-0.415055531,-0.498347592,ethersportz,ESZ,519896,3769246,1/9/2018,1/10/2018,2018q1,2,USA,"Entertainment,Casino&Gambling,Sports",1,2.2,1,0,kyc&whitelist,6,0.7,1, USA,0,1,0,3500000
lampix,0.029326585,-0.706440614,-1.904335362,lampix,PIX,5000000,60000000,8/9/2017,8/18/2017,2017q3,10,USA,"Platform,Software",0,3,0,0,0,13,0.5,,,0,1,0,12172472
arbidex,-0.145556668,0.065954654,0.171324279,arbidex,ABX,,16239980,1/23/2018,2/28/2018,2018q1,36,UK,"Investment,Platform,Cryptocurrency",1,2.8,3,1,kyc,6,0.688,1," USA, China",0,1,0,16239980
p2p-global-network,-0.621958757,-0.932141148,-1.012219341,p2p-global-network,P2P,500000,2000000,12/16/2018,2/28/2019,2018q4,74,USA,Platform,1,4,2,0,0,10,0.4,,,0,1,0,600000
adhive,0.281861294,0.159911616,-0.513908507,adhive,ADH,2000000,12000000,2/28/2018,3/14/2018,2018q1,15,Estonia,"Entertainment,Communication,Businessservices,ArtificialIntelligence,Internet,Media,Other,Platform",1,4.2,43,1,kyc&whitelist,10,0.6,1," USA, China",1,1,0,12000000
elysian,-0.328822156,-0.365493298,-0.362869542,elysian,ELY,3000000,7000000,6/18/2018,7/8/2018,2018q2,21,Belize,"ArtificialIntelligence,Businessservices,Cryptocurrency,Platform,SmartContract,VirtualReality",1,4.3,26,1,kyc&whitelist,12,0.23,1," USA, China, Canada, Iran, North Korea",0,1,1,7000000
coinlancer,-0.127698392,-0.315444122,-0.374979238,coinlancer,CL,,,10/14/2017,11/15/2017,2017q4,32,United Arab Emirates,Platform,1,2.8,1,0,0,16,0.93,,,0,0,0,11000000
devery,-0.111285874,-0.501653349,-0.447876399,devery,EVE,200000,10000000,1/18/2018,1/19/2018,2018q1,2,Australia,"Retail,Manufacturing,Platform,Businessservices",0,3.6,13,1,0,3,0.6,,,0,1,0,10000000
simdaq,0.255034746,-0.018431628,-0.232361408,simdaq,SMDQ,500000,5000000,1/25/2018,2/26/2018,2018q1,32,Russia,"Platform,Cryptocurrency,Businessservices,Education,BigData",1,2.8,2,0,0,6,0.7,,,1,1,0,5000000
bonpay,-0.637710012,-0.763223231,-0.621744047,bonpay,BON,,61176000,10/31/2017,11/28/2017,2017q4,28,UK,"Businessservices,Banking",1,2.9,1,1,0,4,0.51,,,0,1,0,10000000
transcodium,-0.235843246,-0.395792983,-0.566368615,transcodium,TNS,500000,30000000,3/1/2018,4/30/2018,2018q1,60,UK,"Platform,Internet,Cryptocurrency,Businessservices,Software",1,3.6,22,1,0,7,0.72,,,0,1,0,10977534
srcoin,-0.595938264,-0.611273146,-0.528363031,srcoin,SRCOIN,,,3/1/2018,3/31/2018,2018q1,30,Malaysia,"Health,Platform",1,2.9,0,0,0,9,0.7,,,0,1,1,4000000
tv-two,0.428753179,0.002735222,-0.502822277,tv-two,TTV,1504400,15044000,5/24/2018,7/24/2018,2018q2,61,Liechtenstein,"Entertainment,Platform,Media",1,4.1,31,0,kyc,8,0.75,1, USA,0,1,0,8700000
taklimakan-network,-0.012385673,-0.509606249,,taklimakan-network,TKLN,5000000,27500000,4/9/2018,8/31/2018,2018q2,144,Singapore,"Investment,Education,Cryptocurrency,Businessservices,Platform",1,3.6,6,1,kyc,16,0.55,1," USA, Singapore",0,1,1,3316000
betterbetting,-0.199196917,0.283081899,-0.528308644,betterbetting,BETR,,30000000,12/15/2017,1/31/2018,2017q4,47,Estonia,"Casino&Gambling,Cryptocurrency,Sports",1,3.8,9,0,0,5,0.55,,,1,1,0,5500000
jsecoin,-0.185302455,0.405768906,-0.467630342,jsecoin,JSE,,10000000000,7/11/2018,10/11/2018,2018q3,92,UK,Cryptocurrency,1,3.9,6,0,kyc&whitelist,12,0.5,,,0,1,0,111500
mybit,0.207849202,-0.118297822,0.002809401,mybit,MYB,,15069000,7/17/2017,8/17/2017,2017q3,31,Switzerland,Energy,1,2.6,0,1,0,,0.4155,,,0,1,0,3036000
parkgene,0.345467719,-0.089748371,-0.382412938,parkgene,GENE,,350000000,1/15/2018,3/19/2018,2018q1,63,Singapore,"Businessservices,Infrastructure,Realestate,Software",1,3.3,3,0,kyc,5,0.35,0, NO,0,1,0,24335000
patron,0.53922171,-0.223489155,-0.363914014,patron,PAT,4000000,35000000,3/27/2018,5/9/2018,2018q1,43,Japan,"Platform,Entertainment,Media",1,3.2,23,1,kyc,7,0.6,,,0,1,1,40000000
menlo-one,-0.140599326,-0.267346977,-0.86906322,menlo-one,ONE,,4947000,9/17/2018,10/15/2018,2018q3,28,Cayman Islands,"Cryptocurrency,Infrastructure,Platform,Software",1,4.2,4,0,kyc&whitelist,10,0.3,0, China,0,1,1,2661500
tokenbox,-0.24269004,-0.320100456,-0.527484625,tokenbox,TBX,,20000000,11/14/2017,11/28/2017,2017q4,15,Russia,"Platform,Businessservices",1,3.8,3,0,0,8,0.75,1," USA, China",0,1,0,8000000
